Doc Name,Observation Unit,Source Document,Judges On Panel,Appointing Presidents On Panel,Appointing Parties On Panel,Policy Instrument Purpose,Plaintiff Immigration Status Type,Policy Instrument Type,Policy Instrument Issuing Authority,Court Decision Legal Basis,Decision Date,Immigration Policy At Issue,Executive Order Name,Legal Challenge Grounds,Defendant Entity Types,Injunction Scope,Policy Instrument Date,Judge Names,Judge Decision Outcome,Case Subject Matter,Administration At Issue,Policy Instrument Target Group,Executive Order Number,Judge Decision Tendency,Court Level,Case Proceeding Type,Plaintiff Entity Types,Court name
Judge Dabney L. Friedrich,Judge Dabney L. Friedrich,Centro2025-05-12DDC,"{'judge_name': 'DABNEY L. FRIEDRICH', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Deny', 'role': 'Author'}",[],[],To establish procedures enabling requests for addresses of persons subject to criminal investigation.,Undocumented,Memorandum of Understanding,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-12,An agreement between the IRS and DHS to share taxpayer information for immigration enforcement purposes.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Undetermined,2025-04-07,DABNEY L. FRIEDRICH,"The court denied the plaintiffs' motion for a preliminary injunction, finding that the Memorandum of Understanding between the IRS and DHS does not violate the Internal Revenue Code.",Immigration Enforcement,Other,"Individuals subject to criminal investigation, identified by name and address.",14161,Supportive of Government Immigration Policy,District Court,Preliminary Injunction,Immigrant Advocacy Group,"United States District Court, District of Columbia"
Judge Trevor N. McFadden,Judge Trevor N. McFadden,Coalition2025-04-10DDC,"{'name': 'Trevor N. McFadden', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Judge'}",[],[],"To create a form that previously unregistered immigrants could complete to comply with statutory registration requirements, requiring them to provide biographic and biometric information and always carry proof of registration.",Undocumented,Interim Final Rule,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,"April 10, 2025",An interim final rule issued by the Department of Homeland Security (DHS) creating a new online general registration form (Form G-325R) for previously unregistered aliens to comply with statutory registration requirements.,Protecting the American People Against Invasion,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Undetermined,March 2025,Trevor N. McFadden,Motion for stay or preliminary injunction denied due to plaintiffs' failure to establish standing.,Immigration Enforcement,Trump Administration,Previously unregistered aliens in the United States,141509,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Non-profit Organization,"United States District Court, District of Columbia"
TREVOR N. McFADDEN,TREVOR N. McFADDEN,Coalition2025-06-12DDC,"{'name': 'TREVOR N. McFADDEN', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Memorandum Order', 'role': 'author'}",[],[],"To create a universal registration form for aliens, filling a gap between statute and regulation for registration and fingerprinting requirements.",Undocumented,Interim Final Rule,Department of Homeland Security (DHS),"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)",2025-06-12,An interim final rule issued by the Department of Homeland Security creating a universal registration form (Form G-325R) for aliens.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,2025-01,TREVOR N. McFADDEN,"The court denied the motion for an injunction pending appeal, finding that while plaintiffs had standing, they failed to demonstrate irreparable harm.",Immigration Enforcement,Other,"Aliens (specifically those who entered illegally, as the form provides a pathway for them to register).",None,Unsupportive of Government Immigration Policy,District Court,Motion for Injunction Pending Appeal,Immigrant Advocacy Group,"United States District Court, District of Columbia"
"Henderson, Circuit Judge","Henderson, Circuit Judge",Coalition2025-08-12CADC,"{'name': 'Henderson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Per Curiam', 'role': 'Circuit Judge'}",[],[],The purpose of the immigration policy instrument is not explicitly stated in the provided text.,The specific immigration statuses or types of the individual plaintiffs are not detailed in the provided text.,The specific type of official instrument used to enact the immigration policy is not explicitly stated in the provided text.,The specific government official or entity that formally issued or enacted the immigration policy instrument is not explicitly stated in the provided text.,"The court cited stringent requirements for an injunction pending appeal, referencing Winter v. Natural Res. Def. Council, Inc., 555 U.S. 7, 20 (2008) and D.C. Circuit Handbook of Practice and Internal Procedures 33 (2024).","August 12, 2025","The case involves a motion for stay or injunction pending appeal related to immigration policies, but the specific policy is not detailed.",None,"The plaintiffs are challenging the government's action through a motion for stay or injunction pending appeal, and potentially grounds related to the Administrative Procedure Act (APA) as indicated by the reference to 5 U.S.C. § 705.",United States Department of Homeland Security,,The date the specific immigration policy instrument was issued or became effective is not stated in the provided text.,"Henderson, Wilkins, Garcia",The motions for stay or injunction pending appeal were denied. The motion to dismiss was referred to the merits panel. The motion for leave to participate as amicus curiae was granted.,The case involves a challenge to immigration policies through motions for stay or injunction pending appeal.,The administration whose immigration policy or action is being challenged is not explicitly stated in the provided text.,The specific group of individuals or entities that the immigration policy instrument primarily targets or affects is not detailed in the provided text.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for stay or injunction pending appeal,"Individual Noncitizen, Immigrant Advocacy Group",United States Court of Appeals for the District of Columbia Circuit
"Wilkins, Circuit Judge","Wilkins, Circuit Judge",Coalition2025-08-12CADC,"{'name': 'Wilkins', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Unsupportive of Government Immigration Policy', 'role': 'Circuit Judge'}",[],[],The specific purpose of the immigration policy instrument is not detailed in the provided text.,The specific immigration statuses or types of the individual plaintiffs are not detailed in the provided text.,The specific type of official instrument used to enact the immigration policy is not detailed in the provided text.,The specific government official or entity that formally issued or enacted the immigration policy instrument is not detailed in the provided text.,"The court denied the motion for stay or injunction pending appeal because the appellants have not satisfied the stringent requirements for an injunction pending appeal, referencing Winter v. Natural Res. Def. Council, Inc., 555 U.S. 7, 20 (2008) and D.C. Circuit Handbook of Practice and Internal Procedures 33 (2024).","August 12, 2025",The case involves a motion for stay or injunction pending appeal related to immigration.,None,"The legal challenge grounds are not explicitly stated in the provided text, but the court references the stringent requirements for an injunction pending appeal.",United States Department of Homeland Security,,The date the specific immigration policy instrument was issued or became effective is not detailed in the provided text.,"Henderson, Wilkins, Garcia","The court denied the motions for stay or injunction pending appeal, stating that the appellants had not satisfied the stringent requirements for such relief.",The broad subject area of the immigration case is related to injunctions pending appeal.,The U.S. Presidential administration whose immigration policy or action is being challenged or is central to the case is not explicitly stated in the provided text.,The specific group of individuals or entities that the immigration policy instrument primarily targets or affects is not detailed in the provided text.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay or injunction pending appeal,"Individual Noncitizen, Immigrant Advocacy Group",United States Court of Appeals for the District of Columbia Circuit
"Garcia, Circuit Judge","Garcia, Circuit Judge",Coalition2025-08-12CADC,"{'name': 'Henderson', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Unsupportive of Government Immigration Policy', 'role': 'joining'}",[],[],None,None,None,None,Balance of Equities/Public Interest,2025-08-12,The specific immigration policy or action being challenged is not detailed in this excerpt.,None,None,Department of Homeland Security (DHS),Undetermined,None,Henderson,"The court denied the motions for stay or injunction pending appeal, stating that the appellants had not satisfied the stringent requirements for an injunction pending appeal.",None,Other,None,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Immigrant Advocacy Group,United States Court of Appeals FOR THE DISTRICT OF COLUMBIA CIRCUIT
Judge Araceli Martínez-Olguín,Judge Araceli Martínez-Olguín,Community2025-04-29NDCA,"{'judge_name': 'Araceli Martínez-Olguín', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Holding', 'role': 'Judge'}",[],[],To provide legal representation for unaccompanied children in immigration proceedings.,Unaccompanied children in immigration proceedings.,Cancellation Order,Department of the Interior (DOI),Administrative Procedure Act (APA) - Arbitrary and Capricious,"April 29, 2025",Termination of funding for direct legal representation services for unaccompanied children in immigration proceedings.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,"March 21, 2025",Araceli Martínez-Olguín,"The court granted the plaintiffs' motion for a preliminary injunction, enjoining the defendants from withdrawing services or funds provided by ORR as of March 20, 2025, particularly for direct legal representation services to unaccompanied children.",Immigration Enforcement,Other,Unaccompanied children in immigration proceedings.,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Non-profit Organization,"United States District Court, N.D. California"
Judge Koh,Judge Koh,Community2025-05-14CA9,"{'name': 'Lucy H. Koh', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'majority', 'role': 'author'}",,,"To ensure that unaccompanied children in immigration proceedings receive legal representation to protect them from mistreatment, exploitation, and trafficking.",,Foundational Rule,Office of Refugee Resettlement (ORR),Administrative Procedure Act (APA) - Statutory Violation,2025-05-14,The termination of funding for direct legal representation of unaccompanied children in immigration proceedings.,,Administrative Procedure Act (APA),Department of Health and Human Services (DHS),Nationwide,None,Lucy H. Koh,"The Court of Appeals denied the government's motion to stay the preliminary injunction pending appeal, finding that the government had not shown a likelihood of success on the merits or irreparable injury.",Refugee Resettlement,Other,Unaccompanied children in immigration proceedings,,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay,Non-profit Organization,"United States Court of Appeals, Ninth Circuit"
Judge Callahan,Judge Callahan,Community2025-05-14CA9,"{'name': 'William A. Fletcher', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Majority', 'role': 'Author'}",[],[],"To ensure that unaccompanied children in immigration proceedings receive legal representation to protect them from mistreatment, exploitation, and trafficking.",Undocumented,Foundational Rule,Office of Refugee Resettlement (ORR),Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-14,The termination of funding for direct legal representation of unaccompanied children in immigration proceedings.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,None,William A. Fletcher,The Court of Appeals denied the government's motion to stay the preliminary injunction pending appeal.,Refugee Resettlement,Trump Administration,Unaccompanied children in immigration proceedings,None,,Court of Appeals,Motion for Stay,Immigrant Advocacy Group,"United States Court of Appeals, Ninth Circuit"
Judge Araceli Martínez-Olguín,Judge Araceli Martínez-Olguín,Community2025-05-14CA9,"{'name': 'Araceli Martínez-Olguín', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'granted motion and preliminarily enjoined government from withdrawing funding', 'role': 'J.'}",[],[],"To ensure that unaccompanied children in immigration proceedings receive legal representation to protect them from mistreatment, exploitation, and trafficking.",[],Foundational Rule,Office of Refugee Resettlement (ORR),"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)",2025-05-14,Termination of funding for direct legal representation of unaccompanied children in immigration proceedings.,None,Administrative Procedure Act (APA),Department of Health and Human Services (DHS),Nationwide,None,Araceli Martínez-Olguín,"The Court of Appeals denied the government's motion to stay the preliminary injunction pending appeal, finding that the government had not shown a likelihood of success on the merits or irreparable injury.",Immigration Enforcement,Other,Unaccompanied children in immigration proceedings,None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay,Immigrant Advocacy Group,"United States Court of Appeals, Ninth Circuit."
Charlotte N. Sweeney,Charlotte N. Sweeney,DBU2025-05-06DColo,"{'judge_name': 'Charlotte N. Sweeney', 'appointing_president': 'Not specified', 'appointing_party': 'Not specified', 'opinion_type': 'Granting preliminary injunction', 'role': 'Author'}",[],[],To detain and remove Venezuelan nationals who are members of an entity designated by the Department of State as a foreign terrorist organization.,Noncitizen,Proclamation,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 6, 2025","The President's use of the Alien Enemies Act (AEA) to remove noncitizens, specifically Venezuelan nationals identified as members of the designated foreign terrorist organization Tren de Aragua (TdA), based on a Presidential Proclamation.",Invocation of the Alien Enemies Act Regarding the Invasion of the United States by Tren de Aragua,Immigration and Nationality Act (INA),President of the United States,Nationwide,"March 14, 2025",Charlotte N. Sweeney,"The court granted the petitioners' motion for a preliminary injunction, enjoining respondents from detaining, transferring, or removing petitioners and class members under the Alien Enemies Act and the Proclamation from the District of Colorado.",Detention/Removal,Trump Administration,Venezuelan nationals who are members of an entity designated by the Department of State as a foreign terrorist organization.,None,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. Colorado"
Judge MURPHY,Judge MURPHY,DVD2025-03-28DMA,"{'name': 'MURPHY', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'GRANTING', 'role': 'Author'}",[],[],"To prevent the removal of individuals to third countries without providing them with notice and an opportunity to apply for protection, including withholding of removal and Convention Against Torture (CAT) protection.",Other Nonimmigrant,Temporary Restraining Order,"United States District Court, D. Massachusetts",Immigration and Nationality Act (INA) - Statutory Violation,"March 28, 2025",The policy of removing individuals to third countries without providing notice and an opportunity to apply for protection.,None,Immigration and Nationality Act (INA),Department of Homeland Security (DHS),Class-wide,"March 28, 2025",MURPHY,"The court granted in part the plaintiffs' motion for a temporary restraining order, enjoining the defendants from removing certain plaintiffs and other individuals subject to a final order of removal to a third country unless specific conditions regarding notice and opportunity to apply for protection are met.",Immigration Enforcement,Other,"Individuals subject to removal orders, including specific plaintiffs D.V.D., M.M., and E.F.D.",None,Unsupportive of Government Immigration Policy,District Court,Temporary Restraining Order,Individual Noncitizen,"United States District Court, D. Massachusetts"
Judge Montecalvo,Judge Montecalvo,DVD2025-04-07CA1,"{'name': 'Montecalvo', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Denial of stay pending appeal and administrative stay', 'role': 'Circuit Judge'}",[],[],To address third country removals.,[],Guidance,Appellants (Defendants),Jurisdiction,"April 7, 2025","The underlying temporary restraining order concerning third country removals, which the appellants have attempted to modify with intervening ""Guidance Regarding Third Country Removals.""",None,[],Department of Homeland Security (DHS),Undetermined,None,Montecalvo,"The court denied the emergency motion for stay pending appeal and immediate administrative stay, citing concerns about the appealability of the underlying temporary restraining order.",Immigration Enforcement,Other,Individuals subject to third country removals.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, First Circuit"
Judge Howard,Judge Howard,DVD2025-04-07CA1,"{'name': 'Howard', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Denial of stay', 'role': 'Circuit Judge'}",,,,,,,Jurisdiction,"April 7, 2025","The case concerns the appealability of a temporary restraining order related to removal policy, with intervening ""Guidance Regarding Third Country Removals"" issued by the appellants.",,,,,,,The court denied the emergency motion for stay pending appeal and immediate administrative stay.,,,,,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,,"United States Court of Appeals, First Circuit"
Judge Aframe,Judge Aframe,DVD2025-04-07CA1,"{'name': 'Aframe', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'denied', 'role': 'Circuit Judge'}",[],[],To provide guidance regarding third country removals.,Undetermined,Guidance,Appellants,Jurisdiction,"April 7, 2025",The underlying temporary restraining order regarding third country removals.,None,Administrative Procedure Act (APA) - Arbitrary and Capricious,Department of Homeland Security (DHS),Undetermined,None,Montecalvo,The emergency motion for stay pending appeal and immediate administrative stay was denied.,Immigration Enforcement,Other,Individuals subject to third country removals.,None,Neutral/Procedural,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, First Circuit"
Judge Murphy,Judge MURPHY,DVD2025-04-18DMA,"{'judge_name': 'Murphy', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'holding', 'opinion_role': 'author'}",[],[],"To allow for the removal of aliens to a third country without notice or an opportunity to apply for protection from removal to that country, even if they face persecution or torture.",Undocumented,Directive,Department of Homeland Security (DHS),Fifth Amendment - Due Process (Procedural),2025-04-18,The policy of removing aliens to a third country without providing notice and an opportunity to apply for protection from removal to that country.,Securing our Borders,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Class-wide,2025-02-18,Murphy,"The court granted the motion for class certification and granted the motion for a preliminary injunction in part, ordering that prior to removing any alien to a third country, defendants must provide written notice, a meaningful opportunity to raise a fear of return for eligibility for CAT protections, move to reopen proceedings if reasonable fear is demonstrated, and provide a minimum of 15 days to seek to move to reopen if reasonable fear is not demonstrated.",Detention/Removal,Trump Administration,Noncitizens with final removal orders who are subject to removal to a third country.,14165,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. Massachusetts"
Judge Brian E. Murphy,Judge Brian E. Murphy,DVD2025-05-23DMA,"{'name': 'Brian E. Murphy', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Author', 'role': 'Author'}",[],[],To prevent the involuntary return of individuals to countries where they face torture or persecution.,Other Nonimmigrant,FARRA regulations implementing Convention Against Torture (CAT),,Fifth Amendment - Due Process (Procedural),"May 23, 2025","The removal of a noncitizen Guatemalan national who had been granted withholding of removal from Guatemala, without notice or opportunity to raise fear-based claims regarding third-country removal to Mexico.",None,Fifth Amendment,Department of Homeland Security (DHS),Nationwide,None,Brian E. Murphy,"Granted plaintiffs' motion for a preliminary injunction, ordering the return of the noncitizen to the United States.",Immigration Enforcement,Other,Noncitizen Guatemalan national facing persecution and torture in Guatemala.,None,Unsupportive of Government Immigration Policy,District Court,Temporary Restraining Order (TRO),Non-profit Organization,"United States District Court, D. Massachusetts"
Justice SOTOMAYOR,Justice Sotomayor,DVD2025-06-23SCt,"{'name': 'Justice SOTOMAYOR', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'dissenting', 'role': 'author'}",[],[],"To direct immigration officers to review for removal all cases on the non-detained docket and determine the viability of removal to a third country, and subsequently to establish a two-step process for executing third-country removals, including conditions for removal without process if a country provides assurances against persecution or torture, and a limited screening process otherwise.",Undocumented,Guidance,Department of Homeland Security (DHS),Fifth Amendment - Due Process (Procedural),2025-06-23,The government's policy and practice of removing noncitizens to a third country without providing adequate notice or an opportunity to file a claim under the Convention Against Torture.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Class-wide,2025-02-18,Justice SOTOMAYOR,"Dissenting from the Court's decision to grant the Government's application for a stay of a preliminary injunction, arguing that the Government repeatedly defied court orders and that granting the stay constitutes an abuse of equitable discretion.",Immigration Enforcement,Other,Noncitizens on the non-detained docket subject to removal to a third country.,None,Unsupportive of Government Immigration Policy,Supreme Court,Stay of Agency Action,Individual Noncitizen,Supreme Court of the United States
Justice KAGAN,Justice Kagan,DVD2025-06-23SCt,"Justice Sotomayor (author), Justice Kagan (joined), Justice Jackson (joined)","Barack Obama, Barack Obama, Barack Obama","Democratic, Democratic, Democratic","To direct immigration officers to review cases on the non-detained docket and determine the viability of removal to a third country, and later to establish a two-step process for executing third-country removals.","Noncitizens facing removal, individuals subject to a final order of removal from the United States to a third country","Internal guidance document, Guidance",Department of Homeland Security (DHS),"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment), Fifth Amendment - Due Process (Procedural)","June 23, 2025",The government's policy and practice of removing noncitizens to a third country without adequate notice or an opportunity to present a claim under the Convention Against Torture.,None,"Administrative Procedure Act (APA), Fifth Amendment - Due Process Clause","Department of Homeland Security (DHS), Secretary of Homeland Security, Attorney General",Class-wide,"February 18, 2025, March 30, 2025","Justice Sotomayor, Justice Kagan, Justice Jackson",Dissenting from the Court's decision to grant the Government's application for a stay of the preliminary injunction.,Immigration Enforcement,Trump Administration,"Noncitizens on the non-detained docket, individuals subject to a final order of removal",None,Unsupportive of Government Immigration Policy,Supreme Court,Application for Stay,"Individual Noncitizen, Class Action",Supreme Court of the United States
Justice JACKSON,Justice Jackson,DVD2025-06-23SCt,"{'name': 'Justice JACKSON', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'dissenting', 'role': 'joined'}",[],[],"To direct immigration officers to review cases on the non-detained docket for removal to a third country, and to establish a process for executing third-country removals, including obtaining assurances from foreign countries and providing notice to aliens.",Undocumented,Guidance,Department of Homeland Security (DHS),"Administrative Procedure Act (APA) - Procedural Violation (e.g., no notice-and-comment)","June 23, 2025",The government's policy and practice of removing noncitizens to a third country without adequate notice or an opportunity to present a claim under the Convention Against Torture.,None,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Class-wide,"February 18, 2025",Justice SOTOMAYOR,"The Supreme Court granted the application for stay, staying the preliminary injunction pending disposition of the appeal and petition for writ of certiorari.",Detention/Removal,Other,Noncitizens on the non-detained docket subject to removal to a third country.,None,Unsupportive of Government Immigration Policy,Supreme Court,Stay Pending Appeal,Individual Noncitizen,Supreme Court of the United States
Indira Talwani,Indira Talwani,Doe2025-04-14DMA,Indira Talwani,None,None,"To address the increasing number of Venezuelan nationals arriving at the southern border by coupling a meaningful incentive to seek a lawful, safe and orderly means of traveling to the United States with the imposition of consequences for those who seek to enter irregularly.",Parolee,Federal Register Notice,Department of Homeland Security (DHS),Administrative Procedure Act (APA) - Arbitrary and Capricious,"April 14, 2025","DHS's categorical early revocation of existing grants of parole and work authorization made pursuant to the parole programs for nationals from Cuba, Haiti, Nicaragua, and Venezuela (CHNV).",Executive Order 14165 and Executive Order 14159,Administrative Procedure Act (APA),President of the United States,Nationwide,"March 25, 2025",Indira Talwani,"The court granted the noncitizens' emergency motion for preliminary injunction and stay, granted their supplemental motion for class certification, and denied the defendants' request for a stay of decision pending appeal.",Parole Programs,Trump Administration,"Nationals from Cuba, Haiti, Nicaragua, and Venezuela (CHNV) who received grants of parole.",14165 and 14159,Unsupportive of Government Immigration Policy,District Court,Preliminary Injunction,Individual Noncitizen,"United States District Court, D. Massachusetts"
Judge Gelpí,Judge Gelpí,Doe2025-05-05CA1,"{'judge_name': 'Gelpí', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'majority', 'role': 'author'}",[],[],"To terminate parole for a group of aliens on a categorical basis, rather than on a case-by-case basis.",Parole,Categorical termination of parole,Secretary of Homeland Security,Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 5, 2025","The categorical termination of parole for a group of aliens, rather than on a case-by-case basis.",None,Administrative Procedure Act (APA),Secretary of Homeland Security,Undetermined,None,Gelpí,"The court denied the Secretary's motion for a stay pending appeal, upholding the district court's order that the categorical termination of parole was reviewable and likely contrary to law.",Parole Termination,Trump Administration,Aliens whose parole was terminated categorically.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, First Circuit"
Judge Kayatta,Judge Kayatta,Doe2025-05-05CA1,"{'name': 'Judge Kayatta', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'majority', 'role': 'joining'}",[],[],To categorically terminate plaintiffs' parole.,Other Nonimmigrant,Parole termination,Secretary of Homeland Security,Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 5, 2025",The categorical termination of parole for plaintiffs.,None,Administrative Procedure Act (APA),Secretary of Homeland Security,Nationwide,None,Gelpí,"The court denied the Secretary's motion for a stay pending appeal, finding that the categorical termination of parole was not likely to be sustained on appeal and that the balance of harms and public interest did not warrant a stay.",Immigration Enforcement,Trump Administration,Plaintiffs whose parole was categorically terminated.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, First Circuit"
Judge Montecalvo,Judge Montecalvo,Doe2025-05-05CA1,"{'name': 'Montecalvo', 'appointing_president': None, 'appointing_party': None, 'voting_tendency': 'Unsupportive of Government Immigration Policy', 'role': 'Circuit Judge'}",[],[],The purpose of the policy instrument was to categorically terminate plaintiffs' parole.,Parole,Categorical termination of parole,Secretary of Homeland Security,"The court considered whether the Secretary has unreviewable discretion to terminate parole and whether a categorical termination is reviewable. It also referenced the standard for a stay pending appeal (strong showing of likelihood of success on appeal, balance of harms, and public interest).","May 5, 2025",The categorical termination of parole for a group of plaintiffs.,None,"The plaintiffs' parole was terminated on a basis other than case-by-case, which was argued to be contrary to law and potentially an abuse of discretion under 8 U.S.C. § 1182(d)(5)(A).",Secretary of Homeland Security,"The case involves the termination of parole for multiple plaintiffs, suggesting a scope beyond individual cases, and the court denied a stay of the district court's order, which had previously granted a stay.",None,Gelpí,The court denied the Secretary's motion for a stay pending appeal of the district court's order that had previously stayed the termination of plaintiffs' parole.,Parole termination and judicial review of immigration decisions.,Trump Administration,Plaintiffs whose parole was categorically terminated.,None,Unsupportive of Government Immigration Policy,Court of Appeals,Motion for Stay Pending Appeal,Individual Noncitizen,"United States Court of Appeals, First Circuit"
Justice Jackson,Justice Jackson,Doe2025-05-30SCt,"{'name': 'Justice Jackson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Dissenting', 'role': 'Author'}",[],[],"To terminate all categorical parole programs, including the CHNV program, which granted temporary permission to noncitizens from Cuba, Haiti, Nicaragua, and Venezuela.",Parolee,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,2025-05-30,"The termination of lawful status for all CHNV parolees by the Department of Homeland Security (DHS) through a Federal Register Notice, following an Executive Order to terminate all categorical parole programs.",Executive Order that instructed the DHS Secretary to ‘Terminate all categorical parole programs’,Administrative Procedure Act (APA),Department of Homeland Security (DHS),Nationwide,2025-01-20,Justice Jackson,"The Supreme Court granted the application for a stay, staying the April 15, 2025 order entered by the United States District Court for the District of Massachusetts pending the disposition of the appeal and a petition for writ of certiorari.",Refugee Resettlement,Trump Administration,"Noncitizens from Cuba, Haiti, Nicaragua, and Venezuela who were granted parole status.",14165,Unsupportive of Government Immigration Policy,Supreme Court,Stay Pending Appeal,Class Action,Supreme Court of the United States
Justice Sotomayor,Justice Sotomayor,Doe2025-05-30SCt,"{'name': 'Justice Jackson', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'dissenting', 'role': 'author'}",[],[],"To terminate all categorical parole programs, including the CHNV program, which granted temporary permission to noncitizens from Cuba, Haiti, Nicaragua, and Venezuela.",Parolee,Executive Order,President of the United States,Administrative Procedure Act (APA) - Arbitrary and Capricious,"May 30, 2025","The termination of lawful status for all CHNV parolees through a single Federal Register Notice, following an Executive Order instructing the DHS Secretary to terminate all categorical parole programs.",None,Administrative Procedure Act (APA),Secretary of Homeland Security,Nationwide,"January 20, 2025",Justice Jackson,"The application for stay presented to Justice Jackson and by her referred to the Court is granted. The April 15, 2025 order entered by the United States District Court for the District of Massachusetts is stayed pending the disposition of the appeal in the United States Court of Appeals for the First Circuit and disposition of a petition for a writ of certiorari.",Refugee Resettlement,Trump Administration,"Noncitizens from Cuba, Haiti, Nicaragua, and Venezuela granted parole under the CHNV program.",14165,Unsupportive of Government Immigration Policy,Supreme Court,Stay Pending Appeal,Class Action,Supreme Court of the United States
Judge Brian M. Cogan,Judge Brian M. Cogan,EvangelicalClergy2025-07-01EDNY,"{'name': 'Brian M. Cogan', 'appointing_president': None, 'appointing_party': None, 'opinion_type': 'Memorandum Decision and Order to Show Cause', 'role': 'Author'}",[],[],"To provide temporary relief from removal and work authorization to certain aliens present in the United States who cannot safely return to their country of nationality due to armed conflict, a natural disaster, or other extraordinary and temporary conditions.",TPS Holder,Designation,Secretary of Homeland Security,Administrative Procedure Act (APA) - Exceeded Statutory Authority,2025-07-01,"The partial vacatur of Haiti's Temporary Protected Status (TPS) designation, shortening its expiration date.",None,Administrative Procedure Act (APA),President of the United States,Nationwide,2024-07-01,Brian M. Cogan,Plaintiffs' motions for partial summary judgment and for postponement of agency action granted; government's motion to dismiss denied in part.,Immigration Enforcement,Trump Administration,Haitian nationals and Temporary Protected Status (TPS) beneficiaries,None,Unsupportive of Government Immigration Policy,District Court,Motion for Summary Judgment,Individual Noncitizen,"United States District Court, E.D. New York"
